22:32:02.836,1,16,2.088,0.406,626.381,7.580,179.070,
22:32:04.465,1,64,2.177,0.649,608.901,7.630,153.700,
22:32:06.094,1,256,3.261,0.683,605.311,7.890,153.730,
22:32:07.723,1,1024,3.669,2.148,582.011,9.000,225.100,
22:32:09.354,1,4096,5.438,0.671,608.151,7.530,146.100,
22:32:10.991,1,16384,8.656,2.807,609.571,7.880,188.410,
22:32:12.637,1,65536,20.156,2.174,595.181,7.800,180.450,
22:32:14.340,1,262144,78.204,7.939,598.601,7.700,189.170,
22:32:16.250,1,1048576,284.462,52.302,568.971,7.640,140.870,

22:32:17.877,2,1,2.455,0.399,616.091,7.080,165.410,
22:32:19.503,2,4,2.457,0.445,536.931,7.130,137.260,
22:32:21.130,2,16,2.549,1.993,557.061,7.600,156.480,
22:32:22.756,2,64,2.550,0.504,520.761,8.010,151.290,
22:32:24.383,2,256,3.823,1.250,575.771,7.290,146.380,
22:32:26.011,2,1024,4.239,1.627,609.891,8.010,192.930,
22:32:27.639,2,4096,6.369,2.580,545.031,7.410,151.160,
22:32:29.273,2,16384,6.124,2.306,402.252,7.460,151.520,
22:32:30.916,2,65536,19.977,2.562,574.081,7.660,156.010,
22:32:32.633,2,262144,92.616,6.829,537.371,7.190,166.060,
22:32:34.543,2,1048576,285.736,54.307,588.881,7.440,156.840,

22:32:36.169,3,1,2.519,1.520,588.261,7.720,146.480,
22:32:37.794,3,4,2.537,1.678,537.991,7.520,145.980,
22:32:39.420,3,16,2.454,0.365,592.231,7.690,143.430,
22:32:41.047,3,64,2.542,0.375,579.551,7.480,175.390,
22:32:42.675,3,256,3.816,1.140,596.241,7.390,147.940,
22:32:44.302,3,1024,3.936,1.634,578.941,7.730,287.720,
22:32:45.931,3,4096,6.285,1.804,592.011,7.960,154.000,
22:32:47.563,3,16384,9.800,2.372,582.001,7.660,180.210,
22:32:49.207,3,65536,20.702,2.948,593.111,7.460,154.140,
22:32:50.905,3,262144,75.219,6.248,574.631,7.570,152.300,
22:32:52.797,3,1048576,270.273,37.385,570.861,7.080,149.380,

22:32:54.423,4,1,2.678,0.780,582.081,7.140,136.170,
22:32:56.049,4,4,2.487,1.483,522.561,8.140,279.400,
22:32:57.676,4,16,2.459,0.390,569.501,7.470,149.320,
22:32:59.302,4,64,2.541,0.568,618.121,7.440,158.150,
22:33:00.930,4,256,4.174,1.601,562.571,7.440,148.110,
22:33:02.556,4,1024,4.232,2.382,618.041,7.520,180.560,
22:33:04.185,4,4096,6.328,2.069,592.111,7.430,158.930,
22:33:05.816,4,16384,9.812,1.715,605.581,7.600,164.770,
22:33:07.463,4,65536,20.358,2.314,586.281,7.090,203.880,
22:33:09.161,4,262144,75.970,7.061,542.791,7.810,154.210,
22:33:11.060,4,1048576,274.415,42.155,569.381,7.550,152.730,

22:33:12.685,5,1,2.462,0.351,552.101,7.440,165.910,
22:33:14.311,5,4,2.440,0.401,606.731,7.890,141.230,
22:33:15.937,5,16,2.436,0.374,592.421,7.370,142.490,
22:33:17.560,5,64,2.543,0.474,580.141,7.770,159.350,
22:33:19.186,5,256,3.942,2.574,604.981,7.910,162.680,
22:33:20.813,5,1024,4.258,2.351,557.481,7.390,142.790,
22:33:22.442,5,4096,6.716,3.090,575.151,7.120,149.420,
22:33:24.075,5,16384,9.781,1.923,589.731,7.090,239.260,
22:33:25.718,5,65536,20.266,1.946,552.891,7.240,146.420,
22:33:27.414,5,262144,72.721,6.666,598.861,11.280,224.360,
22:33:29.321,5,1048576,284.487,52.180,564.531,7.690,147.550,

22:33:30.946,6,1,2.431,0.408,554.551,7.940,158.800,
22:33:32.571,6,4,2.456,0.350,576.451,7.520,140.350,
22:33:34.198,6,16,2.096,0.573,559.211,7.990,203.600,
22:33:35.825,6,64,2.173,0.469,555.251,8.130,187.410,
22:33:37.453,6,256,3.289,2.121,544.731,7.890,160.380,
22:33:39.082,6,1024,3.562,0.436,601.211,7.630,171.440,
22:33:40.713,6,4096,5.454,1.420,601.851,8.060,161.950,
22:33:42.347,6,16384,8.632,2.952,590.301,8.520,151.660,
22:33:43.991,6,65536,17.931,1.630,592.671,7.810,162.040,
22:33:45.704,6,262144,55.391,2.900,343.192,5.274,142.852,
22:33:47.587,6,1048576,256.313,22.401,633.071,5.061,98.323,

22:33:49.215,7,1,1.395,0.775,373.271,5.093,99.530,
22:33:50.844,7,4,1.351,0.255,406.925,5.047,94.132,
22:33:52.471,7,16,1.598,0.367,360.232,4.817,113.705,
22:33:54.099,7,64,1.401,0.233,363.402,5.376,114.834,
22:33:55.728,7,256,2.117,0.751,349.889,4.938,97.824,
22:33:57.358,7,1024,2.377,1.236,371.106,5.194,107.698,
22:33:58.990,7,4096,5.489,2.881,609.561,5.389,101.269,
22:34:00.626,7,16384,8.627,2.518,594.611,5.295,99.964,
22:34:02.270,7,65536,18.213,1.743,601.521,5.470,95.192,
22:34:03.968,7,262144,71.126,5.327,551.961,5.067,99.017,
22:34:05.857,7,1048576,260.700,34.118,560.421,5.083,98.989,

22:34:07.482,8,1,2.498,1.887,549.831,7.440,160.590,
22:34:09.108,8,4,2.535,1.650,602.971,7.930,169.750,
22:34:10.732,8,16,2.479,1.488,557.621,7.570,164.860,
22:34:12.358,8,64,2.586,1.882,596.641,6.351,102.960,
22:34:13.985,8,256,3.864,1.612,536.371,7.500,145.650,
22:34:15.611,8,1024,4.230,1.752,550.791,7.820,141.080,
