timestamp,repetition,size_bytes,min_send,max_send,avg_send,std_dev_send,avg_buffer_setup,avg_frag_setup,avg_wr_setup,avg_send_poll,min_recv,max_recv,avg_recv,avg_recv_poll,std_dev_recv,mailbox_init,rvsocket,rvbind,rvconnect_dgram,rvaccept_dgram,postRecvPool,qp_setup
04:53:17.072,4,1024,3.390,6.945,4.376,0.714,14.150,0.070,0.291,11.089,,,,,,216.071,22.569,3.203,463.211,245.665,3833.282,2827.686
04:53:17.416,4,4050,2.537,6.910,3.617,0.694,10.045,0.067,0.182,7.343,,,,,,142.065,14.411,3.127,313.110,252.870,3821.339,2820.473
04:53:17.771,4,16384,6.675,18.319,10.763,1.585,76.761,8.393,1.297,56.048,,,,,,214.722,22.279,3.385,465.021,250.024,3923.736,2832.780
04:53:18.166,4,65536,17.973,24.778,20.140,1.582,176.469,26.885,2.822,126.932,,,,,,145.490,14.358,3.297,462.361,242.785,3852.696,2852.280
04:53:18.715,4,262144,91.391,121.861,99.904,5.608,1005.050,156.309,16.107,729.962,,,,,,220.601,22.279,3.252,462.481,245.348,3948.635,2800.238
04:53:19.902,4,1048576,263.376,314.628,275.023,11.025,2727.034,454.187,43.268,1942.970,,,,,,148.769,14.000,5.210,463.091,370.965,6102.764,2809.881

04:53:20.255,5,1,0.555,6.650,3.894,0.659,13.935,0.072,0.291,11.512,,,,,,141.246,15.353,3.083,305.820,247.537,3798.897,2821.159
04:53:20.601,5,4,3.425,7.280,4.041,0.545,14.062,0.070,0.260,10.926,,,,,,223.641,23.519,3.560,474.151,255.900,3841.617,2799.747
04:53:20.947,5,16,2.440,6.390,4.048,0.540,14.124,0.071,0.327,10.896,,,,,,221.771,20.839,3.049,461.752,245.739,4080.588,2807.605
04:53:21.293,5,64,3.320,6.370,3.875,0.546,13.873,0.051,0.274,10.793,,,,,,216.311,20.839,3.249,462.901,249.099,4051.594,2829.731
04:53:21.644,5,256,3.420,9.270,4.329,0.793,13.783,0.059,0.251,10.614,,,,,,210.581,19.779,3.278,466.551,248.554,4133.937,2810.296
04:53:21.996,5,1024,3.555,6.625,4.400,0.735,14.074,0.068,0.261,11.064,,,,,,217.111,21.119,3.244,455.602,246.720,3895.364,2809.648
04:53:22.345,5,4050,4.830,11.029,5.698,1.080,15.430,0.101,0.335,11.310,,,,,,220.031,20.980,3.335,459.352,241.985,3898.708,2827.321
04:53:22.705,5,16384,5.965,14.815,10.451,1.539,73.533,7.597,1.243,54.914,,,,,,215.971,21.549,3.234,459.661,250.062,3856.693,2827.333
04:53:23.103,5,65536,26.119,61.742,29.653,4.201,242.350,38.968,4.303,164.455,,,,,,220.441,21.709,3.339,467.731,245.940,4084.441,2828.812
04:53:23.655,5,262144,65.683,82.302,67.654,2.042,656.659,106.630,10.933,482.178,,,,,,141.680,14.814,3.216,299.056,240.678,4178.232,2832.311
04:53:24.838,5,1048576,374.106,489.228,402.515,25.481,4070.817,656.541,66.961,2928.820,,,,,,226.941,20.969,5.180,443.792,359.665,6003.848,4258.688

04:53:25.190,6,1,3.440,7.835,4.185,0.689,13.712,0.071,0.317,10.789,,,,,,213.371,20.059,3.276,458.401,246.130,4092.232,2838.581
04:53:25.534,6,4,2.475,6.695,3.839,0.537,13.676,0.070,0.297,10.869,,,,,,217.011,21.289,3.336,463.451,248.406,4215.215,2788.678
04:53:25.880,6,16,3.180,10.745,4.025,0.915,14.196,0.070,0.263,11.051,,,,,,214.651,21.859,3.163,461.221,247.314,3721.215,2841.949
04:53:26.227,6,64,2.066,12.526,2.697,1.142,9.138,0.033,0.168,7.140,,,,,,159.320,13.734,2.837,303.041,248.970,3749.819,2818.270
04:53:26.583,6,256,3.470,6.760,4.190,0.631,13.777,0.059,0.273,10.786,,,,,,214.341,19.659,3.346,459.351,241.357,3845.834,2829.764
04:53:26.931,6,1024,2.079,5.071,2.762,0.558,9.707,0.045,0.190,7.469,,,,,,144.588,14.134,3.425,311.053,245.176,3840.479,2829.056
04:53:27.284,6,4050,3.325,7.307,3.764,0.680,9.660,0.067,0.174,6.348,,,,,,148.814,13.749,3.583,466.311,248.032,3913.260,2824.768
04:53:27.649,6,16384,6.570,17.464,10.572,1.569,77.005,8.189,1.241,56.128,,,,,,218.271,21.089,3.154,464.821,246.201,4021.563,2794.875
04:53:28.046,6,65536,18.029,39.166,20.000,2.754,175.007,26.275,2.831,126.492,,,,,,146.335,13.051,3.188,464.951,249.108,3883.804,2824.171
04:53:28.608,6,262144,61.731,80.282,66.088,2.255,656.393,103.671,10.935,473.270,,,,,,140.395,14.471,5.290,305.946,375.315,4034.463,2828.504
04:53:29.809,6,1048576,397.794,477.623,417.820,16.517,4105.350,686.092,66.565,2944.534,,,,,,216.391,20.039,3.430,452.672,243.141,3766.947,2826.816

04:53:30.172,7,1,0.960,10.005,4.368,0.968,13.606,0.081,0.279,8.955,,,,,,217.171,22.549,4.750,473.511,372.025,5790.906,4691.221
04:53:30.515,7,4,2.216,4.295,2.604,0.338,9.326,0.047,0.179,7.368,,,,,,147.493,14.556,3.343,302.213,245.793,4205.927,2846.763
04:53:30.861,7,16,3.355,12.544,4.155,1.370,14.297,0.070,0.322,11.190,,,,,,218.801,22.299,3.402,472.331,254.902,4046.414,2816.062
04:53:31.207,7,64,3.350,6.570,3.929,0.512,14.289,0.097,0.249,10.970,,,,,,222.701,21.839,3.742,459.601,247.145,4140.815,2817.985
04:53:31.551,7,256,2.112,4.317,2.604,0.393,9.431,0.039,0.222,7.303,,,,,,147.666,14.369,3.040,299.137,245.282,3828.075,2844.154
04:53:31.897,7,1024,3.575,7.090,4.461,0.738,14.251,0.071,0.268,10.946,,,,,,216.281,21.309,3.573,462.831,253.431,3891.041,2801.205
04:53:32.242,7,4050,4.770,10.959,5.756,1.130,15.921,0.103,0.288,11.398,,,,,,218.581,20.749,3.492,475.241,240.596,3861.845,2821.687
04:53:32.640,7,16384,8.345,17.354,10.350,1.529,64.622,7.051,1.276,44.514,,,,,,212.142,21.129,3.116,467.881,251.649,3820.569,2793.189
04:53:33.037,7,65536,16.761,37.055,19.073,3.140,168.415,24.775,2.813,123.616,,,,,,140.432,13.830,3.516,460.941,254.011,3873.611,2814.462
04:53:33.588,7,262144,96.891,159.154,101.634,9.030,1003.391,159.930,16.745,723.660,,,,,,217.411,21.399,3.376,300.353,246.048,3866.789,2831.422
04:53:34.771,7,1048576,389.944,440.825,409.730,12.375,4103.841,672.276,65.704,2911.435,,,,,,219.551,21.409,2.834,464.691,246.026,3807.108,2838.656

04:53:35.136,8,1,3.390,6.555,3.994,0.541,14.174,0.071,0.277,10.967,,,,,,159.044,14.816,4.810,300.450,371.875,3994.912,3148.726
04:53:35.481,8,4,2.218,4.336,2.635,0.322,9.358,0.048,0.161,7.316,,,,,,145.391,14.103,3.537,303.750,239.511,4082.731,2831.377
04:53:35.833,8,16,1.081,4.588,2.628,0.440,8.992,0.057,0.161,7.111,,,,,,141.905,12.931,3.151,303.675,250.047,4037.290,2831.373
04:53:36.179,8,64,3.235,6.720,3.910,0.493,14.220,0.051,0.302,10.979,,,,,,215.061,19.669,3.196,460.292,241.755,4154.033,2820.474
04:53:36.525,8,256,2.320,4.471,2.758,0.378,9.418,0.040,0.191,7.263,,,,,,143.475,15.169,3.162,469.841,258.746,4054.138,2804.676
04:53:36.873,8,1024,3.360,7.160,4.380,0.778,14.707,0.068,0.270,11.221,,,,,,220.971,21.809,4.980,461.831,378.105,4141.560,2828.199
04:53:37.220,8,4050,2.934,6.996,3.565,0.661,10.565,0.067,0.208,7.709,,,,,,147.131,14.477,4.650,303.822,366.865,3811.154,2803.460
04:53:37.580,8,16384,3.895,9.622,6.847,0.943,49.016,4.951,0.849,36.506,,,,,,141.891,13.760,3.313,461.621,240.582,4089.731,2819.804
04:53:37.976,8,65536,27.524,36.299,30.607,2.535,264.085,41.012,4.214,191.249,,,,,,222.501,22.340,3.357,301.230,242.471,3831.698,2777.361
04:53:38.531,8,262144,66.889,88.099,70.801,3.680,678.105,111.905,10.810,484.490,,,,,,149.119,14.016,3.370,306.723,244.948,3803.823,2801.728
04:53:39.662,8,1048576,378.410,430.763,391.503,11.989,3852.597,638.228,66.126,2582.083,,,,,,218.091,22.449,4.840,472.551,387.424,3894.171,2791.222

04:53:40.013,9,1,3.675,17.929,4.455,1.581,12.636,0.073,0.250,9.146,,,,,,218.391,21.029,5.060,470.541,383.425,3678.063,2808.608
04:53:40.394,9,4,2.370,7.150,4.050,0.609,13.798,0.072,0.268,10.843,,,,,,222.721,26.719,4.900,468.421,376.155,6103.784,2846.191
04:53:40.745,9,16,0.540,6.270,3.674,0.560,14.236,0.069,0.298,11.180,,,,,,222.121,20.319,4.290,461.631,379.285,4125.608,2813.713
04:53:41.092,9,64,2.043,4.086,2.491,0.359,9.395,0.033,0.181,7.206,,,,,,144.995,13.960,3.340,303.170,241.888,4035.435,2826.344
04:53:41.438,9,256,2.675,6.750,4.096,0.655,13.895,0.061,0.260,11.024,,,,,,216.311,21.199,3.422,462.551,247.749,3846.782,2781.215
04:53:41.785,9,1024,3.655,7.270,4.479,0.718,13.131,0.072,0.249,9.359,,,,,,223.011,22.129,4.810,470.161,366.275,5907.781,2831.917
04:53:42.133,9,4050,3.116,7.550,3.740,0.661,10.795,0.067,0.184,7.462,,,,,,145.921,13.629,4.900,307.365,378.835,3842.259,2829.141
04:53:42.490,9,16384,6.560,22.729,11.009,1.900,76.937,8.677,1.271,56.501,,,,,,218.591,28.679,2.771,457.102,244.641,3797.947,2814.720
04:53:42.887,9,65536,21.054,56.578,28.179,4.462,223.712,34.356,4.326,152.637,,,,,,227.891,20.819,3.262,464.191,242.565,4143.307,2781.167
04:53:43.437,9,262144,98.527,125.446,105.871,4.157,1011.938,167.669,16.411,715.532,,,,,,214.201,21.609,4.730,458.081,376.795,5991.358,2817.538
04:53:44.623,9,1048576,375.195,459.665,408.097,15.597,4101.735,673.524,66.416,2926.833,,,,,,218.071,20.529,3.411,303.742,242.135,3901.908,4248.338

04:53:44.970,10,1,3.605,16.664,4.522,1.514,12.597,0.074,0.258,9.206,,,,,,218.821,21.540,4.240,463.911,369.395,5779.106,2848.668
04:53:45.323,10,4,2.900,6.710,3.977,0.488,13.655,0.070,0.272,10.837,,,,,,222.101,20.399,3.410,462.971,247.824,3852.002,2822.807
04:53:45.686,10,16,1.875,7.380,3.914,0.648,14.090,0.071,0.284,11.111,,,,,,215.011,22.449,4.820,458.861,374.965,6339.214,4258.268
04:53:46.035,10,64,3.290,7.140,3.975,0.580,14.243,0.050,0.290,10.971,,,,,,223.991,21.679,3.260,461.641,247.174,4147.415,2830.445
04:53:46.383,10,256,3.275,7.005,3.911,0.581,14.185,0.060,0.246,10.965,,,,,,222.671,21.239,5.030,456.502,369.645,3714.966,2840.900
04:53:46.733,10,1024,3.270,7.485,4.330,0.763,14.475,0.068,0.283,11.157,,,,,,222.601,22.169,4.940,460.761,372.575,6097.403,4274.797
04:53:47.078,10,4050,1.585,10.980,5.540,1.154,15.816,0.101,0.260,11.790,,,,,,221.641,21.459,5.780,466.391,378.335,6265.297,2830.073
04:53:47.437,10,16384,6.640,21.519,10.944,1.914,77.337,8.385,1.568,55.860,,,,,,219.211,21.149,3.145,461.321,246.510,3883.432,2819.224
04:53:47.834,10,65536,27.374,35.209,29.535,1.550,264.884,38.789,4.254,190.578,,,,,,215.841,23.729,4.490,467.161,372.765,4023.498,2825.518
04:53:48.384,10,262144,67.384,110.247,71.072,5.289,676.581,113.418,10.676,475.757,,,,,,147.308,14.290,3.405,303.100,242.009,3940.843,2809.791
04:53:49.495,10,1048576,250.932,301.961,262.109,11.790,2501.844,425.786,44.184,1670.673,,,,,,142.582,14.779,3.331,304.181,246.537,3737.206,2827.239

