timestamp,repetition,size_bytes,min_us,max_us,avg_us,std_dev,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup
17:54:29.669,6,262144,23.440,29.790,24.842,0.913,24.513,0.054,16.431,212.360,8.422
17:54:31.916,6,1048576,62.370,80.890,65.125,1.516,64.756,0.058,54.263,221.620,8.146

17:54:33.933,7,1,12.540,32.350,13.774,1.125,13.447,0.050,1.381,212.740,7.748
17:54:36.081,7,4,12.540,29.720,13.580,1.037,13.251,0.050,1.360,214.040,8.187
17:54:38.228,7,16,12.510,21.850,13.738,0.819,13.401,0.049,1.362,217.900,8.157
17:54:40.376,7,64,12.270,28.470,13.802,1.092,13.477,0.049,1.974,217.490,8.228
17:54:42.523,7,256,11.790,19.630,12.807,0.789,12.483,0.049,2.030,210.360,7.585
17:54:44.671,7,1024,12.450,20.680,13.697,0.841,13.370,0.050,2.122,217.450,8.830
17:54:48.955,7,4096,12.710,45.780,14.177,1.569,13.844,0.049,2159.863,215.350,10.739
17:54:51.115,7,16384,11.980,20.730,13.355,0.901,13.029,0.049,3.316,219.000,7.952
17:54:53.272,7,65536,15.510,24.030,16.870,0.980,16.546,0.050,7.641,213.800,8.943
17:54:55.441,7,262144,24.840,32.360,26.388,0.962,26.055,0.049,16.913,217.340,8.330
17:54:57.685,7,1048576,41.609,48.908,43.239,0.902,42.990,0.043,36.156,218.160,8.360

17:54:59.703,8,1,12.590,21.420,13.833,0.865,13.503,0.049,1.364,213.670,8.646
17:55:01.851,8,4,12.490,29.400,13.731,1.084,13.398,0.050,1.387,216.940,8.044
17:55:03.998,8,16,12.540,20.910,13.844,0.873,13.516,0.049,1.391,215.850,9.596
17:55:08.282,8,64,12.520,52.030,13.884,1.580,13.552,0.051,2159.080,217.960,9.810
17:55:10.440,8,256,12.500,20.190,13.691,0.786,13.363,0.049,2.021,211.060,10.117
17:55:12.588,8,1024,12.520,34.310,13.718,1.139,13.382,0.049,2.116,214.320,8.034
17:55:14.737,8,4096,12.710,22.000,14.065,0.965,13.730,0.050,2.588,216.630,9.392
17:55:16.886,8,16384,13.180,22.850,14.498,0.875,14.169,0.050,3.470,213.200,8.340
17:55:19.041,8,65536,15.440,22.840,16.824,0.927,16.501,0.049,7.398,219.260,8.217
17:55:21.212,8,262144,25.150,34.000,26.791,1.029,26.462,0.050,16.996,216.700,8.514
17:55:23.454,8,1048576,62.690,74.290,65.006,1.306,64.633,0.058,54.076,213.400,9.371

17:55:27.609,9,1,12.130,60.120,13.631,1.729,13.309,0.049,2158.633,207.690,9.627
17:55:29.768,9,4,12.500,20.820,13.855,0.888,13.512,0.049,1.363,211.690,8.218
17:55:31.913,9,16,11.140,18.940,11.951,0.776,11.631,0.049,1.386,211.980,9.300
17:55:34.065,9,64,11.970,28.160,13.695,1.064,13.369,0.049,1.969,218.970,8.013
17:55:36.211,9,256,12.480,21.000,13.767,0.862,13.434,0.049,2.018,208.780,8.840
17:55:38.357,9,1024,11.140,21.100,11.979,0.793,11.659,0.049,2.109,213.880,7.973
17:55:40.506,9,4096,12.690,22.680,14.043,0.906,13.715,0.049,2.572,214.170,7.963
17:55:42.656,9,16384,13.340,23.820,14.725,0.876,14.403,0.049,3.338,212.680,9.790
17:55:46.942,9,65536,15.540,55.200,17.005,1.548,16.678,0.050,2159.856,213.640,9.095
17:55:49.129,9,262144,24.760,33.400,26.464,1.044,26.135,0.051,17.267,217.120,8.575
17:55:51.372,9,1048576,62.370,72.690,65.043,1.320,64.659,0.061,54.448,213.270,7.850

17:55:53.390,10,1,12.500,21.400,13.727,0.859,13.397,0.050,1.374,218.790,8.197
17:55:55.538,10,4,12.370,21.880,13.598,0.872,13.254,0.049,1.413,211.100,7.758
17:55:57.685,10,16,12.500,22.350,13.749,0.895,13.425,0.049,1.380,215.830,8.013
17:55:59.833,10,64,12.450,22.950,13.763,0.877,13.427,0.049,1.964,217.380,8.728
17:56:01.981,10,256,9.900,20.990,13.517,0.864,13.190,0.049,2.030,217.470,8.575
17:56:06.264,10,1024,12.440,51.970,13.699,1.524,13.356,0.049,2160.036,214.470,9.453
17:56:08.423,10,4096,12.080,20.370,13.358,0.871,13.034,0.049,2.548,206.640,7.718
17:56:10.573,10,16384,13.300,22.710,14.680,0.886,14.347,0.049,3.595,214.870,8.197
17:56:12.728,10,65536,15.450,27.810,16.767,0.965,16.445,0.050,7.542,216.070,8.055
17:56:14.898,10,262144,24.170,31.630,25.734,0.926,25.404,0.050,16.647,206.370,8.003
17:56:17.142,10,1048576,62.790,74.800,65.311,1.334,64.934,0.059,54.913,219.960,8.371

17:56:19.160,11,1,12.070,30.030,13.599,1.167,13.271,0.050,1.361,216.310,8.248
17:56:21.306,11,4,11.890,20.610,13.117,0.826,12.788,0.051,1.392,204.700,8.034
17:56:25.591,11,16,12.430,45.860,13.830,1.583,13.491,0.050,2158.744,214.840,9.402
17:56:27.750,11,64,12.550,21.020,13.801,0.843,13.456,0.065,1.957,220.060,7.993
17:56:29.897,11,256,10.640,19.250,11.735,0.834,11.410,0.053,1.987,207.670,7.758
17:56:32.046,11,1024,12.550,22.110,13.923,0.954,13.594,0.049,2.116,217.940,8.381
17:56:34.194,11,4096,12.190,28.430,13.766,1.140,13.440,0.049,2.599,205.760,8.177
17:56:36.342,11,16384,12.650,21.110,13.950,0.867,13.627,0.049,3.625,207.680,8.156
17:56:38.497,11,65536,15.300,22.590,16.605,0.827,16.274,0.050,7.278,210.730,8.922
17:56:40.668,11,262144,24.710,32.560,26.440,1.042,26.118,0.049,16.651,211.340,8.238
17:56:42.912,11,1048576,62.460,79.660,65.031,1.370,64.648,0.059,54.217,217.790,8.320

17:56:44.929,12,1,11.800,34.410,13.324,1.364,12.989,0.049,1.373,205.590,7.840
17:56:47.078,12,4,10.780,24.240,13.774,0.863,13.445,0.050,1.379,218.450,8.360
17:56:49.225,12,16,12.470,21.650,13.772,0.883,13.443,0.050,1.392,217.790,8.279
17:56:51.374,12,64,12.500,21.140,13.765,0.859,13.427,0.051,1.963,213.410,9.045
17:56:53.521,12,256,12.510,21.720,13.781,0.867,13.456,0.049,1.988,214.850,8.259
17:56:55.669,12,1024,12.520,20.910,13.809,0.888,13.476,0.050,2.117,216.330,8.279
17:56:57.816,12,4096,12.460,22.230,13.755,0.835,13.422,0.050,2.557,212.000,7.870
17:56:59.964,12,16384,12.000,20.570,13.307,0.947,12.975,0.049,3.610,210.640,8.289
17:57:02.121,12,65536,15.460,23.030,16.880,0.883,16.553,0.050,7.943,216.290,8.218
17:57:04.291,12,262144,24.800,32.160,26.296,0.940,25.962,0.050,17.329,214.950,8.136
17:57:06.534,12,1048576,62.160,71.100,64.533,1.173,64.157,0.058,54.762,213.700,8.310

17:57:08.551,13,1,12.550,29.470,13.556,1.091,13.227,0.050,1.387,206.030,7.748
17:57:10.698,13,4,11.160,21.200,12.408,0.904,12.082,0.049,1.382,216.330,8.187
17:57:12.847,13,16,12.510,28.580,13.798,1.136,13.470,0.049,1.393,218.670,8.759
17:57:14.996,13,64,12.530,21.420,13.751,0.863,13.417,0.052,1.950,215.800,9.443
17:57:17.142,13,256,11.850,24.340,13.120,0.914,12.798,0.049,1.990,214.260,7.952
17:57:19.290,13,1024,12.530,20.800,13.800,0.845,13.473,0.049,2.147,215.730,8.912
17:57:23.575,13,4096,12.740,41.270,14.094,1.302,13.767,0.049,2159.869,218.490,8.187
17:57:25.735,13,16384,13.410,22.350,14.702,0.872,14.373,0.049,3.599,214.410,8.034
17:57:27.890,13,65536,15.540,25.410,16.930,0.984,16.613,0.050,7.538,220.070,8.575
17:57:30.059,13,262144,23.370,36.890,24.956,1.052,24.617,0.049,16.729,215.780,8.105
17:57:32.304,13,1048576,62.830,73.190,65.015,1.330,64.633,0.061,54.526,216.520,9.943

