timestamp,repetition,size_bytes,min_send,max_send,avg_send,std_dev_send,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup,rvconnect,min_recv,max_recv,avg_recv,std_dev_recv,rvbind,rvaccept
14:50:38.710,4,64,11.780,32.160,12.190,1.333,11.844,0.049,1841.262,218.970,6.320,20824.734,0.080,1812865.690,1836.224,57298.438,4.650,19324.082
14:50:40.860,4,256,13.070,35.050,13.578,1.473,13.217,0.049,1853.722,221.150,5.950,9271.275,0.080,1824286.788,1850.343,57659.339,4.330,18879.531
14:50:43.007,4,1024,12.770,35.840,13.363,1.488,13.020,0.049,1851.158,217.610,5.900,9352.085,0.080,1821795.374,1847.605,57580.600,4.870,18840.551
14:50:45.161,4,4096,14.030,35.090,14.560,1.285,14.219,0.049,1841.114,223.850,6.950,20836.924,0.080,1810321.045,1841.278,57217.851,4.930,19281.101
14:50:47.308,4,16384,15.550,46.400,16.489,1.590,16.148,0.050,1842.804,219.780,7.280,9317.835,0.080,1810784.256,1842.795,57232.376,4.880,18844.611
14:50:49.471,4,65536,15.139,31.995,15.771,0.881,15.543,0.033,1228.289,210.910,7.020,9405.885,0.080,1816256.255,1862.141,57404.890,5.350,18779.120
14:50:51.670,4,262144,51.860,73.580,53.108,1.675,52.748,0.054,1858.625,223.260,6.270,9476.455,0.080,1801740.522,1899.888,56944.439,4.590,18745.911
14:50:54.033,4,1048576,136.750,195.150,171.008,2.797,170.608,0.060,1883.814,213.440,7.300,9454.935,0.280,1749305.136,2062.154,55280.326,5.390,18728.721

14:50:55.893,5,1,12.980,50.230,13.542,1.581,13.206,0.049,1561.997,225.970,6.960,9250.805,0.080,1532662.573,1558.594,48441.988,4.820,19005.211
14:50:58.042,5,4,13.040,35.660,13.665,1.475,13.322,0.049,1851.513,216.140,5.550,9278.275,0.090,1822143.465,1850.380,57591.576,10.800,18926.351
14:51:00.185,5,16,11.420,31.570,12.044,1.258,11.701,0.049,1847.437,214.260,6.960,9273.395,0.080,1819719.811,1842.616,57515.090,5.090,18868.491
14:51:02.335,5,64,13.100,33.340,13.635,1.183,13.294,0.049,1853.539,218.090,5.960,9327.995,0.080,1824117.098,1850.313,57653.971,4.660,18880.331
14:51:04.483,5,256,13.130,40.860,13.699,1.675,13.358,0.049,1851.099,217.270,5.720,9330.595,0.080,1821610.274,1847.921,57574.734,4.800,18842.881
14:51:06.629,5,1024,11.790,35.700,13.147,1.261,12.803,0.050,1843.410,215.620,6.940,9304.585,0.080,1814104.882,1839.646,57337.536,4.980,18827.851
14:51:08.779,5,4096,13.920,70.630,14.649,2.375,14.307,0.049,1852.802,218.790,6.250,9368.095,0.080,1822615.246,1850.843,57606.437,4.970,18791.161
14:51:10.931,5,16384,15.830,37.880,16.334,1.543,15.990,0.049,1810.035,223.970,5.800,9356.045,0.080,1778007.283,1809.784,56196.403,4.400,18860.711
14:51:13.093,5,65536,21.240,51.280,24.166,1.908,23.821,0.050,1853.089,225.710,6.080,9472.235,0.080,1815596.674,1861.736,57384.035,4.550,18798.631
14:51:15.292,5,262144,51.900,75.000,53.055,1.527,52.702,0.050,1858.036,220.430,7.180,9344.515,0.080,1800972.100,1898.969,56920.157,4.640,18915.571
14:51:17.655,5,1048576,132.010,191.460,170.502,2.934,170.105,0.059,1884.318,224.080,5.720,9357.065,0.300,1749557.626,2062.152,55288.314,4.370,18819.011

14:51:19.517,6,1,13.150,33.920,13.790,1.266,13.447,0.051,1564.327,222.140,5.930,9342.875,0.080,1535029.526,1562.608,48516.774,4.740,18833.311
14:51:21.663,6,4,13.140,33.330,13.611,1.247,13.277,0.049,1848.677,214.760,5.540,9356.555,0.080,1819508.060,1845.565,57508.298,5.710,18795.731
14:51:23.809,6,16,12.530,36.470,13.598,1.246,13.257,0.051,1850.084,220.280,7.500,9448.615,0.090,1820907.713,1846.825,57552.541,4.710,18783.621
14:51:25.958,6,64,13.110,36.700,13.632,1.302,13.293,0.049,1851.631,216.720,5.940,9511.825,0.080,1822428.546,1848.560,57600.603,4.550,18820.341
14:51:28.105,6,256,12.670,32.550,13.522,1.140,13.184,0.049,1848.304,221.600,5.700,9401.635,0.080,1818961.080,1845.023,57491.009,4.370,18763.981
14:51:30.265,6,1024,12.700,31.650,13.170,1.232,12.837,0.049,1849.353,220.810,6.000,9616.665,0.080,1808475.943,1847.479,57160.849,4.510,18487.060
14:51:32.402,6,4096,13.620,35.830,14.439,1.306,14.096,0.049,1840.200,211.290,5.620,9368.195,0.080,1809913.595,1837.948,57204.983,5.430,18774.651
14:51:34.553,6,16384,15.880,40.700,16.509,1.599,16.167,0.049,1851.325,224.910,5.980,9388.525,0.053,1204898.774,1226.104,38082.519,2.975,12416.192
14:51:36.714,6,65536,23.390,50.110,24.065,1.544,23.722,0.049,1853.632,214.970,6.040,9323.955,0.080,1815891.735,1862.026,57393.361,4.670,18874.931
14:51:38.917,6,262144,50.110,98.640,52.369,2.392,52.008,0.052,1857.160,212.610,7.050,9517.016,0.080,1801427.441,1901.580,56934.613,5.780,18634.120
14:51:41.276,6,1048576,132.990,184.991,170.304,2.822,169.916,0.053,1881.027,215.180,5.590,9287.285,0.270,1746830.252,2058.560,55202.138,5.300,18898.321

14:51:43.137,7,1,12.700,47.570,13.368,1.564,13.033,0.049,1563.166,216.870,6.610,9381.766,0.090,1534336.105,1559.746,48494.899,4.950,18822.151
14:51:45.285,7,4,13.060,48.110,13.679,1.579,13.338,0.049,1851.063,219.410,6.210,9372.105,0.090,1821776.694,1847.864,57580.001,4.800,18869.701
14:51:47.432,7,16,13.180,36.620,13.652,1.302,13.300,0.049,1850.483,215.640,6.010,9463.225,0.080,1821239.433,1847.378,57563.019,5.050,18824.601
14:51:49.579,7,64,13.080,42.920,13.581,1.411,13.241,0.049,1851.238,220.440,7.100,9267.065,0.080,1821770.254,1847.876,57579.797,4.430,18960.841
14:51:51.728,7,256,12.660,37.070,13.632,1.423,13.294,0.049,1850.626,216.560,5.660,9351.205,0.080,1821237.524,1847.353,57562.959,5.090,18868.581
14:51:53.874,7,1024,10.460,55.650,12.825,1.913,12.484,0.049,1850.616,211.230,5.570,9334.425,0.080,1821758.874,1846.512,57579.480,4.770,18829.591
14:51:56.025,7,4096,13.990,45.140,14.560,1.825,14.216,0.050,1851.732,213.690,6.900,9194.745,0.080,1821244.744,1849.571,57563.118,4.280,18926.951
14:51:58.175,7,16384,15.750,35.490,16.325,1.363,15.982,0.050,1851.506,215.950,6.070,9259.735,0.080,1819689.091,1851.220,57513.846,4.590,18924.401
14:52:00.338,7,65536,23.340,51.190,24.053,1.623,23.714,0.049,1842.201,219.870,6.320,21338.435,0.080,1804177.746,1850.601,57023.108,4.930,18863.311
14:52:02.537,7,262144,52.010,82.970,53.087,1.800,52.728,0.050,1857.360,220.120,5.500,9433.735,0.080,1800624.380,1898.635,56909.166,6.610,18813.191
