timestamp,repetition,size_bytes,min_send,max_send,avg_send,std_dev_send,avg_buffer_setup,avg_wr_setup,avg_poll,window_init,rvsocket_setup,rvconnect,min_recv,max_recv,avg_recv,std_dev_recv,rvbind,rvaccept
18:08:59.405,1,1,13.000,52.260,13.538,1.453,13.180,0.049,12.049,227.510,5.880,18378.590,0.110,87.790,25.876,3.916,4.240,20241.194
18:09:01.549,1,4,12.580,52.810,13.350,1.502,12.997,0.050,11.945,217.080,4.340,9856.658,0.090,85.860,25.514,3.891,4.060,19448.066
18:09:03.697,1,16,12.750,38.850,13.584,1.126,13.219,0.049,12.154,215.280,4.780,9983.307,0.080,92.910,25.941,4.111,4.960,19357.807
18:09:05.844,1,64,13.200,31.090,13.659,0.897,13.296,0.050,12.372,216.230,3.740,9597.469,0.080,107.189,26.000,4.729,4.850,18699.909
18:09:07.991,1,256,12.590,43.960,13.486,1.413,13.130,0.049,12.270,216.310,4.310,20923.942,0.080,92.229,25.954,3.781,3.900,19409.666
18:09:10.136,1,1024,11.250,34.230,12.002,1.313,11.654,0.050,10.782,216.410,3.970,9450.749,0.080,97.530,23.106,4.227,5.100,18885.108
18:09:12.289,1,4096,13.980,40.950,14.504,1.292,14.147,0.049,13.275,219.260,4.250,9589.989,0.080,341.379,28.145,10.968,4.650,18841.428
18:09:14.439,1,16384,15.340,40.520,15.922,1.323,15.562,0.050,14.651,211.150,4.300,9582.099,0.130,318.399,31.390,9.982,4.390,18747.139
18:09:16.603,1,65536,23.050,46.170,23.979,1.226,23.625,0.051,21.080,217.850,5.260,9494.839,0.210,405.549,46.809,12.237,4.320,18795.859
18:09:18.802,1,262144,51.790,74.950,52.856,1.478,52.519,0.051,40.263,214.550,5.480,9600.309,0.080,414.159,97.949,12.437,4.040,18631.109
18:09:21.164,1,1048576,166.839,185.470,170.760,2.292,170.331,0.060,118.203,219.990,6.120,9587.089,222.089,756.628,312.825,15.709,4.770,18608.049

18:09:23.025,2,1,13.220,32.600,13.684,0.855,13.326,0.051,12.311,224.360,4.630,9498.139,0.080,347.529,26.505,10.850,4.640,18816.929
18:09:25.172,2,4,12.830,42.170,13.635,1.460,13.285,0.050,12.221,213.240,4.340,9449.529,0.090,308.569,26.080,10.019,5.040,18886.898
18:09:27.319,2,16,12.940,29.870,13.447,0.837,13.091,0.049,12.098,227.400,6.570,9655.708,0.080,354.389,26.064,11.036,4.410,19271.157
18:09:29.467,2,64,13.130,37.040,13.598,1.161,13.238,0.049,12.302,220.760,4.140,9522.049,0.080,344.349,26.407,10.751,4.750,18814.779
18:09:31.615,2,256,13.200,30.240,13.665,0.918,13.302,0.049,12.357,219.030,3.800,9500.459,0.080,351.959,26.250,11.276,5.240,18745.959
18:09:33.762,2,1024,13.100,38.930,13.575,1.258,13.205,0.049,12.448,215.780,5.810,9343.259,0.080,356.879,26.580,11.034,3.760,18910.238
18:09:35.911,2,4096,8.915,21.824,9.336,0.758,9.098,0.033,8.612,211.820,2.742,6319.185,0.053,216.233,18.297,6.830,5.500,18860.288
18:09:38.062,2,16384,15.600,48.180,16.159,1.469,15.808,0.050,14.723,218.450,4.040,9323.880,0.080,302.609,31.466,9.954,4.580,19020.268
18:09:40.225,2,65536,23.200,63.290,24.012,1.709,23.671,0.050,20.863,222.690,4.190,9704.008,0.170,370.139,46.559,11.125,4.290,18892.878
18:09:42.424,2,262144,51.940,69.070,52.893,1.300,52.533,0.054,40.368,218.650,3.760,9483.989,28.610,398.348,98.361,10.784,5.020,18817.459
18:09:44.785,2,1048576,110.537,122.954,112.582,1.420,112.301,0.037,78.151,212.570,3.306,6286.425,0.589,452.493,206.045,11.069,4.060,18796.648

18:09:46.646,3,1,13.100,49.430,13.636,1.985,13.277,0.049,12.168,216.140,4.340,9477.379,0.090,299.459,26.278,9.476,4.310,18784.159
18:09:48.795,3,4,13.170,50.320,13.658,1.719,13.306,0.050,12.182,218.930,4.160,9473.209,0.080,352.219,26.410,11.059,4.370,18859.988
18:09:50.941,3,16,12.660,34.170,13.396,0.890,13.039,0.049,12.100,223.740,4.170,9489.539,0.090,308.559,25.666,9.955,4.430,18858.329
18:09:53.087,3,64,11.160,33.080,12.061,1.249,11.703,0.049,10.787,220.720,5.380,9534.709,0.080,313.949,23.095,10.099,5.110,18781.779
18:09:55.237,3,256,12.890,42.050,13.364,1.217,13.004,0.049,12.110,210.500,4.490,9633.019,0.080,369.589,25.983,11.435,4.380,18779.399
18:09:57.385,3,1024,8.350,33.577,8.712,1.139,8.476,0.035,8.016,212.040,2.539,6244.583,0.053,208.174,16.871,6.795,5.060,18884.128
18:09:59.535,3,4096,13.590,32.020,14.366,0.781,14.007,0.049,13.315,226.870,6.760,9616.699,0.053,209.582,18.741,6.666,2.584,12753.056
18:10:01.685,3,16384,15.900,38.410,16.370,0.935,16.001,0.050,14.969,226.700,4.270,9539.859,0.053,227.335,21.278,6.937,2.603,12955.380
18:10:03.846,3,65536,22.510,43.440,23.365,1.106,23.012,0.050,20.447,215.310,5.160,9607.449,0.080,357.179,45.167,11.570,5.080,19657.076
18:10:06.046,3,262144,33.989,51.132,35.088,1.088,34.847,0.035,26.458,224.400,4.380,9524.539,29.750,437.039,98.196,11.876,4.900,18771.049
18:10:08.408,3,1048576,167.450,185.990,170.692,2.173,170.281,0.057,117.809,220.140,4.110,9517.499,220.129,663.578,312.357,13.174,5.280,18794.319

18:10:10.268,4,1,12.440,53.490,13.249,1.608,12.887,0.049,11.963,211.500,4.160,9844.988,0.080,313.229,25.426,10.167,5.380,19852.275
18:10:12.416,4,4,12.660,37.160,13.113,0.939,12.759,0.049,11.905,216.180,4.900,9537.849,0.090,309.379,25.526,9.932,4.490,18792.039
18:10:14.564,4,16,13.100,43.560,13.599,1.455,13.239,0.050,12.146,221.740,4.230,9476.399,0.090,303.499,26.166,9.528,5.020,18822.339
18:10:16.712,4,64,13.070,52.330,13.539,1.745,13.187,0.049,12.240,218.140,4.640,9421.999,0.080,291.079,25.962,9.478,4.230,18837.918
18:10:18.857,4,256,11.370,34.630,12.256,1.249,11.907,0.049,11.088,215.010,5.580,34549.087,0.080,330.389,23.858,10.679,6.270,20580.693
18:10:21.007,4,1024,13.120,33.650,13.556,0.802,13.192,0.050,12.545,227.010,4.150,9415.169,0.080,344.599,26.653,10.898,4.490,18723.729
18:10:23.157,4,4096,13.600,53.760,14.421,1.550,14.053,0.057,13.133,221.010,5.120,20868.242,0.080,308.139,27.889,10.026,4.070,19486.506
18:10:25.307,4,16384,15.800,57.610,16.347,1.480,15.990,0.049,14.941,221.820,4.270,9417.989,0.080,331.939,32.160,10.410,5.010,18825.148
18:10:27.470,4,65536,23.010,40.430,23.885,1.180,23.534,0.050,20.811,220.690,4.270,9930.978,0.200,330.669,46.363,9.960,4.270,19369.417
18:10:29.669,4,262144,52.030,72.330,53.067,1.544,52.714,0.050,40.220,222.290,3.970,9463.589,0.080,401.429,98.092,12.122,3.960,18797.159
18:10:32.031,4,1048576,167.219,183.910,170.598,2.125,170.168,0.066,117.963,219.310,4.590,9427.989,225.909,656.238,312.296,12.847,4.050,18896.698

18:10:33.891,5,1,12.650,31.940,13.266,0.822,12.913,0.049,11.936,217.190,3.900,9408.939,0.090,362.139,25.746,11.298,4.280,18843.798
18:10:36.040,5,4,12.590,50.470,13.471,1.525,13.117,0.050,12.058,219.420,4.160,9518.689,0.080,300.459,25.716,9.856,4.830,18799.319
18:10:38.186,5,16,8.418,11.538,8.664,0.262,8.428,0.033,7.868,211.940,2.616,6350.797,0.059,219.851,16.792,6.893,4.050,18722.529
18:10:40.335,5,64,13.070,23.240,13.499,0.586,13.144,0.049,12.408,220.540,5.510,9393.929,0.080,302.989,26.390,9.582,4.870,18866.329
18:10:42.482,5,256,13.040,30.000,13.551,0.831,13.190,0.050,12.390,222.570,5.200,9624.729,0.080,286.589,26.149,9.479,4.840,18680.029
18:10:44.629,5,1024,12.730,31.100,13.405,0.804,13.048,0.049,12.295,219.480,3.620,9471.629,0.080,395.109,26.284,12.245,4.330,18841.458
18:10:46.778,5,4096,13.430,31.960,13.903,0.760,13.541,0.050,12.885,213.870,4.220,9739.018,0.080,329.009,27.371,10.225,5.220,19560.776
